date,total_unemployed,more_than_15_weeks,not_in_labor_searched_for_work,multi_jobs,leavers,losers,housing_price_index
11/1/10,16.9,8696,2531,6708,5.7,63,186.07
12/1/10,16.6,8549,2609,6899,6.4,61.2,183.27
1/1/11,16.2,8393,2800,6816,6.5,60.1,181.35
2/1/11,16,8175,2730,6741,6.4,60.2,179.66
3/1/11,15.9,8166,2434,6735,6.4,60.3,178.84
4/1/11,16.1,8016,2466,6823,6.8,59.4,180.8
5/1/11,15.8,8205,2206,6880,6.6,60,182.11
6/1/11,16.1,8143,2680,6946,7,58.8,183.85
7/1/11,15.9,8177,2785,6850,6.8,59.2,184.25
8/1/11,16.1,8247,2575,6940,7.1,58.2,182.97
9/1/11,16.4,8316,2511,6995,7,58,183.21
10/1/11,15.8,7802,2555,6917,8,57.9,181.51
11/1/11,15.5,7706,2591,6946,7.6,57.5,181.77
12/1/11,15.2,7545,2540,6977,7.2,57.5,181.03
1/1/12,15.2,7433,2809,7022,7.4,57.1,179.13
2/1/12,15,7293,2608,6966,8,55.4,179.83
3/1/12,14.5,7176,2352,6954,8.6,55,182.49
4/1/12,14.6,7072,2363,6903,8,54.2,185.29
5/1/12,14.7,7091,2423,6980,7.1,55.3,188.26
6/1/12,14.8,7227,2483,6804,7.3,56.2,190.15
7/1/12,14.8,6983,2529,6916,6.9,56.2,190.39
8/1/12,14.6,6889,2561,6921,7.6,55.2,190.6
9/1/12,14.8,6775,2517,6865,7.9,54.3,190.44
10/1/12,14.4,6784,2433,6888,8.5,53.8,190.84
11/1/12,14.4,6550,2505,7060,7.6,53.7,191.13
12/1/12,14.4,6629,2614,7003,8,52.6,190.66
1/1/13,14.5,6534,2443,6912,8.1,53.7,190.5
2/1/13,14.4,6367,2588,7285,8,54,192.07
3/1/13,13.8,6292,2326,7074,8.3,53.7,195.67
4/1/13,14,6345,2347,7007,7.5,54.3,198.43
5/1/13,13.8,6316,2164,6964,8.1,52.4,202
6/1/13,14.2,6306,2582,7110,8.8,51.9,204.54
7/1/13,13.8,6073,2414,7105,8.5,51.8,205.77
8/1/13,13.6,6028,2342,7070,7.9,52.3,205.64
9/1/13,13.7,5987,2302,6997,8.7,52.3,205.34
10/1/13,13.6,5807,2283,6863,7.5,54.8,205.44
11/1/13,13.1,5777,2096,6770,8.1,53.2,204.74
12/1/13,13.1,5530,2427,6848,8.2,51.7,204.51
1/1/14,12.7,5309,2592,6845,8,52.8,204.04
2/1/14,12.6,5339,2303,7030,7.8,52.1,205.23
3/1/14,12.6,5335,2168,7010,7.7,52.3,207.78
4/1/14,12.3,4944,2160,7165,8.2,53.6,210
5/1/14,12.1,4805,2130,7192,9,50.7,212.54
6/1/14,12,4637,2028,7096,9,50.7,214.63
7/1/14,12.2,4602,2178,7006,8.9,49.6,215.58
8/1/14,12,4488,2141,7122,8.9,49.6,215.47
9/1/14,11.8,4407,2226,7129,8.8,48.8,214.6
10/1/14,11.5,4308,2192,7577,8.6,48.1,214.88
11/1/14,11.4,4229,2109,7303,9.1,49.3,215.08
12/1/14,11.2,4037,2260,7214,9,49.3,215.49
1/1/15,11.3,4180,2234,7454,9.7,47.7,214.16
2/1/15,11,3987,2159,7098,10.3,48.6,216.25
3/1/15,10.9,3777,2055,7127,10.2,49.2,218.76
4/1/15,10.8,3644,2115,7016,9.7,48.7,221.71
5/1/15,10.7,3789,1862,7008,9.6,49.4,224.79
6/1/15,10.5,3532,1914,7184,9.3,49.2,226.96
7/1/15,10.3,3359,1927,7239,10.4,49.6,227.98
8/1/15,10.2,3463,1812,7217,9.8,49.8,227.39
9/1/15,10,3336,1921,7314,9.8,48.6,227.68
10/1/15,9.8,3344,1916,7377,9.7,49.7,227.71
11/1/15,9.9,3330,1717,7323,9.9,48.9,228.32
12/1/15,9.9,3327,1833,7743,10.3,47.7,228.21
1/1/16,9.9,3234,2089,7470,9.9,47.6,227.45
2/1/16,9.8,3299,1803,7343,9.7,48.3,228.94
3/1/16,9.8,3380,1720,7457,10.5,48.4,232.86
4/1/16,9.7,3340,1715,7416,10.9,48.8,235.18
5/1/16,9.7,3068,1713,7428,10.8,48,238.09
6/1/16,9.6,3126,1779,7229,10.8,48.5,240.33
7/1/16,9.7,3175,1950,7442,10.9,48.4,241.59
8/1/16,9.7,3077,1713,7573,11.4,48.4,242.09
9/1/16,9.7,3127,1844,7845,11.3,49.4,242.27
10/1/16,9.5,3130,1700,7758,12.1,47.9,241.88
11/1/16,9.3,2929,1932,7812,12.5,47.4,242.21
