Year,Quarter,Real GDI,Real GDP,Nominal GDP
1947,Q1,1912.5,1934.5,243.1
1947,Q2,1910.9,1932.3,246.3
1947,Q3,1914.0,1930.3,250.1
1947,Q4,1932.0,1960.7,260.3
1948,Q1,1984.4,1989.5,266.2
1948,Q2,2030.2,2021.9,272.9
1948,Q3,2031.5,2033.2,279.5
1948,Q4,2041.6,2035.3,280.7
1949,Q1,2001.5,2007.5,275.4
1949,Q2,1995.9,2000.8,271.7
1949,Q3,2007.9,2022.8,273.3
1949,Q4,1979.6,2004.7,271.0
1950,Q1,2060.1,2084.6,281.2
1950,Q2,2144.4,2147.6,290.7
1950,Q3,2225.9,2230.4,308.5
1950,Q4,2268.9,2273.4,320.3
1951,Q1,2281.0,2304.5,336.4
1951,Q2,2321.3,2344.5,344.5
1951,Q3,2362.0,2392.8,351.8
1951,Q4,2382.7,2398.1,356.6
1952,Q1,2398.3,2423.5,360.2
1952,Q2,2412.6,2428.5,361.4
1952,Q3,2435.0,2446.1,368.1
1952,Q4,2509.5,2526.4,381.2
1953,Q1,2554.3,2573.4,388.5
1953,Q2,2572.2,2593.5,392.3
1953,Q3,2555.7,2578.9,391.7
1953,Q4,2504.1,2539.8,386.5
1954,Q1,2510.1,2528.0,385.9
1954,Q2,2514.5,2530.7,386.7
1954,Q3,2537.1,2559.4,391.6
1954,Q4,2590.5,2609.3,400.3
1955,Q1,2661.6,2683.8,413.8
1955,Q2,2716.0,2727.5,422.2
1955,Q3,2751.5,2764.1,430.9
1955,Q4,2772.6,2780.8,437.8
1956,Q1,2775.4,2770.0,440.5
1956,Q2,2803.8,2792.9,446.8
1956,Q3,2806.7,2790.6,452.0
1956,Q4,2854.9,2836.2,461.3
1957,Q1,2862.0,2854.5,470.6
1957,Q2,2859.5,2848.2,472.8
1957,Q3,2872.2,2875.9,480.3
1957,Q4,2841.1,2846.4,475.7
1958,Q1,2779.9,2772.7,468.4
1958,Q2,2787.8,2790.9,472.8
1958,Q3,2849.4,2855.5,486.7
1958,Q4,2909.9,2922.3,500.4
1959,Q1,2976.5,2976.6,511.1
1959,Q2,3057.4,3049.0,524.2
1959,Q3,3032.8,3043.1,525.2
1959,Q4,3053.8,3055.1,529.3
1960,Q1,3121.9,3123.2,543.3
1960,Q2,3120.6,3111.3,542.7
1960,Q3,3120.2,3119.1,546.0
1960,Q4,3103.1,3081.3,541.1
1961,Q1,3109.9,3102.3,545.9
1961,Q2,3162.4,3159.9,557.4
1961,Q3,3213.2,3212.6,568.2
1961,Q4,3289.1,3277.7,581.6
1962,Q1,3328.6,3336.8,595.2
1962,Q2,3365.7,3372.7,602.6
1962,Q3,3399.9,3404.8,609.6
1962,Q4,3440.0,3418.0,613.1
1963,Q1,3469.1,3456.1,622.7
1963,Q2,3519.8,3501.1,631.8
1963,Q3,3567.5,3569.5,645.0
1963,Q4,3598.6,3595.0,654.8
1964,Q1,3658.6,3672.7,671.1
1964,Q2,3712.2,3716.4,680.8
1964,Q3,3764.7,3766.9,692.8
1964,Q4,3800.7,3780.2,698.4
1965,Q1,3885.5,3873.5,719.2
1965,Q2,3935.6,3926.4,732.4
1965,Q3,3991.0,4006.2,750.2
1965,Q4,4078.5,4100.6,773.1
1966,Q1,4167.8,4201.9,797.3
1966,Q2,4195.4,4219.1,807.2
1966,Q3,4224.3,4249.2,820.8
1966,Q4,4261.5,4285.6,834.9
1967,Q1,4286.5,4324.9,846.0
1967,Q2,4310.1,4328.7,851.1
1967,Q3,4355.4,4366.1,866.6
1967,Q4,4399.4,4401.2,883.2
1968,Q1,4465.6,4490.6,911.1
1968,Q2,4533.9,4566.4,936.3
1968,Q3,4593.1,4599.3,952.3
1968,Q4,4621.4,4619.8,970.1
1969,Q1,4665.4,4691.6,995.4
1969,Q2,4697.6,4706.7,1011.4
1969,Q3,4732.4,4736.1,1032.0
1969,Q4,4723.9,4715.5,1040.7
1970,Q1,4690.4,4707.1,1053.5
1970,Q2,4690.2,4715.4,1070.1
1970,Q3,4728.9,4757.2,1088.5
1970,Q4,4684.5,4708.3,1091.5
1971,Q1,4778.0,4834.3,1137.8
1971,Q2,4809.4,4861.9,1159.4
1971,Q3,4851.0,4900.0,1180.3
1971,Q4,4912.9,4914.3,1193.6
1972,Q1,4983.7,5002.4,1233.8
1972,Q2,5047.6,5118.3,1270.1
1972,Q3,5129.7,5165.4,1293.8
1972,Q4,5261.5,5251.2,1332.0
1973,Q1,5355.4,5380.5,1380.7
1973,Q2,5384.8,5441.5,1417.6
1973,Q3,5402.8,5411.9,1436.8
1973,Q4,5459.5,5462.4,1479.1
1974,Q1,5417.2,5417.0,1494.7
1974,Q2,5395.6,5431.3,1534.2
1974,Q3,5367.0,5378.7,1563.4
1974,Q4,5303.0,5357.2,1603.0
1975,Q1,5242.6,5292.4,1619.6
