Year,Civilian Noninstitutional Population (all numbers are in thousands),Total  Civilian Labor Force,Percent of Population in Labor Force,Total Employed Population,"Percent Employed
of Population ","Agri-
culture Employees","Nonagri-
cultural
Industry Employees",Number of Unemployed,"Percent Unemployed
of
labor
force",Not In Labor Force
1947.0,101827.0,59350.0,58.3,57038.0,56.0,7890.0,49148.0,2311.0,3.9,42477.0
1948.0,103068.0,60621.0,58.8,58343.0,56.6,7629.0,50714.0,2276.0,3.8,42447.0
1949.0,103994.0,61286.0,58.9,57651.0,55.4,7658.0,49993.0,3637.0,5.9,42708.0
1950.0,104995.0,62208.0,59.2,58918.0,56.1,7160.0,51758.0,3288.0,5.3,42787.0
1951.0,104621.0,62017.0,59.2,59961.0,57.3,6726.0,53235.0,2055.0,3.3,42604.0
1952.0,105231.0,62138.0,59.0,60250.0,57.3,6500.0,53749.0,1883.0,3.0,43093.0
1953.0,107056.0,63015.0,58.9,61179.0,57.1,6260.0,54919.0,1834.0,2.9,44041.0
1954.0,108321.0,63643.0,58.8,60109.0,55.5,6205.0,53904.0,3532.0,5.5,44678.0
1955.0,109683.0,65023.0,59.3,62170.0,56.7,6450.0,55722.0,2852.0,4.4,44660.0
1956.0,110954.0,66552.0,60.0,63799.0,57.5,6283.0,57514.0,2750.0,4.1,44402.0
1957.0,112265.0,66929.0,59.6,64071.0,57.1,5947.0,58123.0,2859.0,4.3,45336.0
1958.0,113727.0,67639.0,59.5,63036.0,55.4,5586.0,57450.0,4602.0,6.8,46088.0
1959.0,115329.0,68369.0,59.3,64630.0,56.0,5565.0,59065.0,3740.0,5.5,46960.0
1960.0,117245.0,69628.0,59.4,65778.0,56.1,5458.0,60318.0,3852.0,5.5,47617.0
1961.0,118771.0,70459.0,59.3,65746.0,55.4,5200.0,60546.0,4714.0,6.7,48312.0
1962.0,120153.0,70614.0,58.8,66702.0,55.5,4944.0,61759.0,3911.0,5.5,49539.0
1963.0,122416.0,71833.0,58.7,67762.0,55.4,4687.0,63076.0,4070.0,5.7,50583.0
1964.0,124485.0,73091.0,58.7,69305.0,55.7,4523.0,64782.0,3786.0,5.2,51394.0
1965.0,126513.0,74455.0,58.9,71088.0,56.2,4361.0,66726.0,3366.0,4.5,52058.0
1966.0,128058.0,75770.0,59.2,72895.0,56.9,3979.0,68915.0,2875.0,3.8,52288.0
1967.0,129874.0,77347.0,59.6,74372.0,57.3,3844.0,70527.0,2975.0,3.8,52527.0
1968.0,132028.0,78737.0,59.6,75920.0,57.5,3817.0,72103.0,2817.0,3.6,53291.0
1969.0,134335.0,80734.0,60.1,77902.0,58.0,3606.0,74296.0,2832.0,3.5,53602.0
1970.0,137085.0,82771.0,60.4,78678.0,57.4,3463.0,75215.0,4093.0,4.9,54315.0
1971.0,140216.0,84382.0,60.2,79367.0,56.6,3394.0,75972.0,5016.0,5.9,55834.0
1972.0,144126.0,87034.0,60.4,82153.0,57.0,3484.0,78669.0,4882.0,5.6,57091.0
1973.0,147096.0,89429.0,60.8,85064.0,57.8,3470.0,81594.0,4365.0,4.9,57667.0
1974.0,150120.0,91949.0,61.3,86794.0,57.8,3515.0,83279.0,5156.0,5.6,58171.0
1975.0,153153.0,93775.0,61.2,85846.0,56.1,3408.0,82438.0,7929.0,8.5,59377.0
1976.0,156150.0,96158.0,61.6,88752.0,56.8,3331.0,85421.0,7406.0,7.7,59991.0
1977.0,159033.0,99009.0,62.3,92017.0,57.9,3283.0,88734.0,6991.0,7.1,60025.0
1978.0,161910.0,102251.0,63.2,96048.0,59.3,3387.0,92661.0,6202.0,6.1,59659.0
1979.0,164863.0,104962.0,63.7,98824.0,59.9,3347.0,95477.0,6137.0,5.8,59900.0
1980.0,167745.0,106940.0,63.8,99303.0,59.2,3364.0,95938.0,7637.0,7.1,60806.0
1981.0,170130.0,108670.0,63.9,100397.0,59.0,3368.0,97030.0,8273.0,7.6,61460.0
1982.0,172271.0,110204.0,64.0,99526.0,57.8,3401.0,96125.0,10678.0,9.7,62067.0
1983.0,174215.0,111550.0,64.0,100834.0,57.9,3383.0,97450.0,10717.0,9.6,62665.0
1984.0,176383.0,113544.0,64.4,105005.0,59.5,3321.0,101685.0,8539.0,7.5,62839.0
1985.0,178206.0,115461.0,64.8,107150.0,60.1,3179.0,103971.0,8312.0,7.2,62744.0
1986.0,180587.0,117834.0,65.3,109597.0,60.7,3163.0,106434.0,8237.0,7.0,62752.0
1987.0,182753.0,119865.0,65.6,112440.0,61.5,3208.0,109232.0,7425.0,6.2,62888.0
1988.0,184613.0,121669.0,65.9,114968.0,62.3,3169.0,111800.0,6701.0,5.5,62944.0
1989.0,186393.0,123869.0,66.5,117342.0,63.0,3199.0,114142.0,6528.0,5.3,62523.0
1990.0,189164.0,125840.0,66.5,118793.0,62.8,3223.0,115570.0,7047.0,5.6,63324.0
1991.0,190925.0,126346.0,66.2,117718.0,61.7,3269.0,114449.0,8628.0,6.8,64578.0
1992.0,192805.0,128105.0,66.4,118492.0,61.5,3247.0,115245.0,9613.0,7.5,64700.0
1993.0,194838.0,129200.0,66.3,120259.0,61.7,3115.0,117144.0,8940.0,6.9,65638.0
1994.0,196814.0,131056.0,66.6,123060.0,62.5,3409.0,119651.0,7996.0,6.1,65758.0
1995.0,198584.0,132304.0,66.6,124900.0,62.9,3440.0,121460.0,7404.0,5.6,66280.0
1996.0,200591.0,133943.0,66.8,126708.0,63.2,3443.0,123264.0,7236.0,5.4,66647.0
1997.0,203133.0,136297.0,67.1,129558.0,63.8,3399.0,126159.0,6739.0,4.9,66837.0
1998.0,205220.0,137673.0,67.1,131463.0,64.1,3378.0,128085.0,6210.0,4.5,67547.0
1999.0,207753.0,139368.0,67.1,133488.0,64.3,3281.0,130207.0,5880.0,4.2,68385.0
2000.0,212577.0,142583.0,67.1,136891.0,64.4,2464.0,134427.0,5692.0,4.0,69994.0
2001.0,215092.0,143734.0,66.8,136933.0,63.7,2299.0,134635.0,6801.0,4.7,71359.0
2002.0,217570.0,144863.0,66.6,136485.0,62.7,2311.0,134174.0,8378.0,5.8,72707.0
2003.0,221168.0,146510.0,66.2,137736.0,62.3,2275.0,135461.0,8774.0,6.0,74658.0
2004.0,223357.0,147401.0,66.0,139252.0,62.3,2232.0,137020.0,8149.0,5.5,75956.0
2005.0,226082.0,149320.0,66.0,141730.0,62.7,2197.0,139532.0,7591.0,5.1,76762.0
2006.0,228815.0,151428.0,66.2,144427.0,63.1,2206.0,142221.0,7001.0,4.6,77387.0
2007.0,231867.0,153124.0,66.0,146047.0,63.0,2095.0,143952.0,7078.0,4.6,78743.0
2008.0,233788.0,154287.0,66.0,145362.0,62.2,2168.0,143194.0,8924.0,5.8,79501.0
2009.0,235801.0,154142.0,65.4,139877.0,59.3,2103.0,137775.0,14265.0,9.3,81659.0
2010.0,237830.0,153889.0,64.7,139064.0,58.5,2206.0,136858.0,14825.0,9.6,83941.0
2011.0,239618.0,153617.0,64.1,139869.0,58.4,2254.0,137615.0,13747.0,8.9,86001.0
2012.0,243284.0,154975.0,63.7,142469.0,58.6,2186.0,140283.0,12506.0,8.1,88310.0
2013.0,245679.0,155389.0,63.2,143929.0,58.6,2130.0,141799.0,11460.0,7.4,90290.0
2014.0,247947.0,155922.0,62.9,146305.0,59.0,2237.0,144068.0,9617.0,6.2,92025.0
2015.0,250801.0,157130.0,62.7,148834.0,59.3,2422.0,146411.0,8296.0,5.3,93671.0
2016.0,253538.0,159187.0,62.8,151436.0,59.7,2460.0,148976.0,7751.0,4.9,94351.0
,,,,,,,,,,
